annee,mesure,libelle_mesure,tranche_age,libelle_age,valeur,statut
1979,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,0.0,
1980,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,0.0,
1981,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,0.0,
1982,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,0.0,
1983,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,0.0,
1984,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,0.0,
1985,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,0.0,
1986,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,0.0,
1987,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,0.0,
1988,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,0.0,
1989,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,0.0,
1990,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,0.0,
1991,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,0.0,
1992,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,0.0,
1993,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,0.0,
1994,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,0.0,
1995,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,0.0,
1996,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,0.0,
1997,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,0.0,
1998,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,119.0,
1999,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,120.0,
2000,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,125.0,
2001,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,124.0,
2002,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,123.0,
2003,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,124.0,
2004,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,125.0,
2005,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,126.0,
2006,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,130.0,
2007,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,128.0,
2008,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,129.0,
2009,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,129.0,
